,S1_BSA_Blank_U13C_labeled_glucose,S1_BSA_Blank_unlabeled_glucose,S2_SA_Blank_U13C_labeled_glucose,S2_SA_Blank_unlabeled_glucose,S3_LPS853_BSA_unlabeled_glucose8h,S4_LPS853_BSA_unlabeled_glucose8h,S5_LPS853_BSA_unlabeled_glucose8h,S6_LPS853_BSAandSA_unlabeled_glucose8h,S7_LPS853_BSAandSA_unlabeled_glucose8h,S8_LPS853_BSAandSA_unlabeled_glucose8h,S9_LPS853_BSA_U13C_labeled_glucose8h,S10_LPS853_BSA_U13C_labeled_glucose8h,S11_LPS853_BSAU13C_labeled_glucose8h,S12_LPS853_BSAandSA_U13C_labeled_glucose8h,S13_LPS853_BSAandSA_U13C_labeled_glucose8h,S14_LPS853_BSAandSA_U13C_labeled_glucose8h,S15_LPS853_BSA_U13C_labeled_glucose4h,S16_LPS853_BSA_U13C_labeled_glucose4h,S17_LPS853_BSA_U13C_labeled_glucose4h,S18_LPS853_BSAandSA_U13C_labeled_glucose4h,S19_LPS853_BSAandSA_U13C_labeled_glucose4h,S20_LPS853_BSAandSA_U13C_labeled_glucose4h,S21_LPS853_BSA_U13C_labeled_glucose2h,S22_LPS853_BSA_U13C_labeled_glucose2h,S23_LPS853_BSA_U13C_labeled_glucose2h,S24_LPS853_BSAandSA_U13C_labeled_glucose2h,S25_LPS853_BSAandSA_U13C_labeled_glucose2h,S26_LPS853_BSAandSA_U13C_labeled_glucose2h,S26_LPS853_BSAandSA_U13C_labeled_glucose2h_redo,Burn_inQCpool1,Burn_inQCpool2,Burn_inQCpool3,Burn_inQCpool4,Noinj_Blank_2,Noinj_Blank_redo26_2,qcpool_redo26_1,qcpool_redo26_2,qcpool_redo26_3,qcpool_redo26_4,qcpool_redo26_5,qcpool2,qcpool3,qcpool4,qcpool5
Cyclic adenosine monophosphate_5,6727.923175,9178.321494,8030.325988,1101.574173,5281.635458,7276.863467,7106.507813,9486.045048,11278.34006,8370.077033,21979.66128,23208.3353,6518.653248,12041.94039,21163.82484,22363.25648,7493.683453,14030.6669,11178.71099,10984.45651,12177.48129,9064.433535,9445.664623,10491.59297,13031.92357,14519.85243,11656.93853,1718.902593,15386.21418,5869.13644,15579.32255,12418.51529,13129.83475,8586.835755,1794.045292,3943.736574,13772.43451,12539.34292,10543.41307,17242.99728,16837.80575,13875.28616,15884.05322,15085.15662
Cyclic adenosine monophosphate_6,3301.91105,3246.635966,510.8984465,7769.952493,4066.561665,4334.229623,6369.997132,5526.176201,5031.249697,3943.588864,7365.294174,4155.634392,6172.094283,4832.089419,6661.085271,8090.281783,7676.468731,7019.285042,4350.500392,7010.54298,7594.466021,7526.363626,7382.46089,7904.357762,4907.106343,4629.710314,3227.443961,7882.988082,5143.614713,6898.655913,5301.681655,5638.407939,6586.21272,5906.88703,3220.144383,2140.643405,4486.212687,1158.192795,0,6773.282055,4759.011355,7490.440086,6460.954849,5852.014594
Cyclic adenosine monophosphate_7,567.0917497,744.7389271,2533.563121,1729.193342,4659.740355,6117.231396,5445.083016,5375.179098,7547.025072,4648.863654,6442.050831,5228.410321,5672.801306,2366.565546,4897.140085,1688.540014,3220.764187,362.0180035,5845.38528,5658.336721,4300.39827,2466.536986,3842.426374,3067.851871,5191.065788,6099.441125,4547.104267,5959.314113,3318.405378,5221.451699,5398.428555,4771.831864,1148.713868,3824.91588,4309.870544,2288.236944,7152.3429,2995.83202,4754.901427,4009.871501,4505.532722,5516.748893,6866.438668,327.6004577
Cyclic adenosine monophosphate_8,3834.496108,3643.321443,2375.484355,376.2705419,5110.776722,6476.056158,4865.660608,6492.773391,6330.782082,6344.478991,4968.817895,7829.158509,9240.444675,4613.583919,4377.236451,6282.321717,9418.980726,0,2843.449192,3745.093171,5367.680605,9419.615219,7788.836381,8379.199292,6424.028401,3146.495643,5231.330025,5535.653167,4544.373252,1027.938443,6281.573704,5940.304175,5491.782577,4753.612694,2678.516754,1355.277462,6303.317655,3523.756708,5431.779076,1067.157364,3353.23614,8488.936776,8431.232207,8113.154132
Cyclic adenosine monophosphate_9,9052.419639,6066.799404,4598.046036,4694.156616,7047.993228,4521.419505,5108.948764,6732.791211,6877.167531,3132.07337,2192.693821,7492.841931,2561.487588,3143.742958,5463.454037,6435.828718,3684.196133,168275.4623,4629.646695,7026.712912,6176.547587,15655.75425,10575.71579,6453.172611,5580.836495,7279.331449,6610.060001,12488.6811,7368.684933,7084.36939,8995.214523,12422.13574,7275.182249,3099.659681,7066.811103,5703.841283,8681.730991,3578.096553,6130.913515,6163.291997,5451.020263,3967.396705,8497.415782,7458.42247
Cyclic adenosine monophosphate_10,5476.905368,7673.786367,1717.434312,4919.212784,4553.755073,5908.694393,5432.866177,4645.025391,392.0658497,4320.198894,229.5109893,7821.708622,4951.527486,5143.280054,9482.105952,3041.032523,1926.689429,16745.94288,3262.750476,2986.593267,5473.970989,8173.437219,4967.491069,3861.553857,3874.573229,5457.786232,7091.746808,2089.706942,6292.33714,3116.562035,3277.139911,8601.698973,9006.557841,6006.220297,5026.129355,5344.816016,5683.072375,7128.328129,2855.694925,7256.430154,1959.270039,1039.336017,8376.664338,9845.72413
Deoxyadenosine triphosphate_0,5595.893984,7501.969724,12846.26997,9926.914262,145089.2329,177014.8016,174782.4965,124283.9131,138287.8033,162266.616,64918.08859,79460.89522,65842.32596,42565.07286,66067.6222,53134.09976,128378.0705,124178.8385,133156.4937,89372.46076,115484.3195,98393.61222,88434.99089,101467.8182,112450.5185,102069.7377,132081.0423,153727.078,134634.7069,101105.1356,113703.5601,101406.2696,94457.88351,5586.595645,10549.67367,101809.8293,105206.3329,98258.04668,80534.50652,88656.2245,112251.8929,92807.41355,101089.5054,108912.4004
Deoxyadenosine triphosphate_1,5267.280444,10727.51591,4279.249312,9498.587283,6308.936825,0,0,17195.62804,11287.81311,8372.305437,11661.32632,11779.68472,279.2998072,9727.133692,12487.77412,10633.77375,11894.37021,12634.71004,9029.430147,8522.552913,15863.79868,12703.56214,11253.43868,6304.087493,11178.40008,15630.86201,6078.945241,3337.405877,2927.954509,8323.300885,0,5482.490332,11006.57733,2983.153872,7708.114145,5868.22992,2971.271783,12806.85694,14116.71892,13603.27938,15050.26425,14249.53525,606.7927985,1441.809913
Deoxyadenosine triphosphate_2,10070.05866,7409.593202,8800.25333,8657.44095,0,0,9286.518907,4217.98026,8901.84217,0,12075.95279,9180.965559,5273.485351,12614.73761,5192.250014,3307.526022,0,0,9513.745561,10077.87461,12560.28887,7958.011742,5796.993655,6937.465782,10628.17017,6338.68267,16943.75912,12030.83955,13405.46885,12669.59013,10503.61841,15893.29549,12448.40095,6348.792029,11113.00332,11834.2986,13532.07224,8219.778843,11889.88409,3435.120076,2841.427945,19079.82355,1429.576189,10959.41641
Deoxyadenosine triphosphate_3,3764.255115,9786.885102,10139.57366,2370.481765,12585.89641,10040.04701,8143.741648,10153.8059,9067.164861,10326.05641,7049.927671,15459.11162,19849.45806,1576.675039,2081.459927,8881.709108,15166.17543,12891.50849,15767.69856,10403.02993,20349.12813,16837.46403,14848.06729,0,18920.98088,14202.68914,5528.28639,18773.46107,9786.398213,1909.606841,18029.13511,5486.972896,12880.74632,9072.286597,5950.368288,8330.138011,16566.16123,5062.772992,10901.20166,16643.65826,6323.862213,16358.04848,6018.045412,8466.404769
